"NAME","DATE_INPUT","DATE_ARCHIVE","TASK","DESCRIPTION","VERSION","VERSION_DATE","STATUS","WIN","MAC","LIN","TYPE","OPEN_SOURCE","URL","URL_CHECK","SOURCE_CODE_URL","DOI","CITATION"
"1","Luminescence","31.12.18","","Luminescence data analysis","A collection of various R functions for the purpose of Luminescence
    dating data analysis. This includes, amongst others, data import, export,
    application of age models, curve deconvolution, sequence analysis and
    plotting of equivalent dose distributions.","0.9.23","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=Luminescence",TRUE,"https://github.com/R-Lum/Luminescence","","Kreutzer, S., Schmidt, C., Fuchs, M.C., Dietze, M., Fischer, M., Fuchs, M., 2012. Introducing an R package for luminescence dating analysis. Ancient TL 30, 1–8. http://ancienttl.org/ATL_30-1_2012/ATL_30-1_Kreutzer_p1-8.pdf"
"2","RCarb","31.12.18","","Dose rate modelling","Translation of the 'MATLAB' program 'Carb' (Nathan and Mauz 2008 <doi:10.1016/j.radmeas.2007.12.012>; Mauz and Hoffmann 2014) for dose rate modelling for carbonate-rich samples in the context of trapped charged dating (e.g., luminescence dating) applications. ","0.1.6","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RCarb",TRUE,"https://github.com/R-Lum/Rcarb","","Kreutzer, S., Mauz, B., Martin, L., Mercier, N., 2019. “RCarb”: Dose Rate Modelling of Carbonate-Rich Samples - an Implementation of Carb in R . Ancient TL 37, 1–8."
"3","RLumShiny","31.12.18","","Plotting","A collection of 'shiny' applications for the R package
    'Luminescence'. These mainly, but not exclusively, include applications for
    plotting chronometric data from e.g. luminescence or radiocarbon dating. It
    further provides access to bootstraps tooltip and popover functionality and
    contains the 'jscolor.js' library with a custom 'shiny' output binding.","0.2.3","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RLumShiny",TRUE,"https://github.com/tzerk/RLumShiny","","Burow, C., Kreutzer, S., Dietze, M., Fuchs, M.C., Fischer, M., Schmidt, C., Brückner, H., 2016. RLumShiny - A graphical user interface for the R Package ’Luminescence’. Ancient TL 34, 22–32. http://ancienttl.org/ATL_34-2_2016/ATL_34-2_Burow_p22-32.pdf"
"4","RLumModel","31.12.18","","Modelling","A collection of functions to simulate luminescence signals in quartz and Al2O3 based on published models.","0.2.10","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RLumModel",TRUE,"https://github.com/R-Lum/RLumModel","","Friedrich, J., Kreutzer, S., Schmidt, C., 2016. Solving ordinary differential equations to understand luminescence: “RLumModel”  an advanced research tool for simulating luminescence in quartz using R. Quaternary Geochronology 35, 88–100. doi: https://doi.org/10.1016/j.quageo.2016.05.004"
"5","numOSL","31.12.18","","Luminescence data analysis","Optimizing regular numeric problems in optically stimulated luminescence dating, 
        such as: equivalent dose calculation, dose rate determination, growth curve fitting, decay 
        curve decomposition, statistical age model optimization, and statistical plot visualization.","2.8","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=numOSL",TRUE,"","","Peng, J., Dong, Z., Han, F., Long, H., Liu, X., 2013. R package numOSL: numeric routines for optically stimulated luminescence dating. Ancient TL 31, 41–48. http://ancienttl.org/ATL_31-2_2013/ATL_31-2_Peng_p41-48.pdf"
"6","BayLum","31.12.18","","Chronological modelling","Bayesian analysis of luminescence data and C-14 age estimates. Bayesian models are based on the following publications: Combes, B. & Philippe, A. (2017) <doi:10.1016/j.quageo.2017.02.003> and Combes et al (2015) <doi:10.1016/j.quageo.2015.04.001>. This includes, amongst others, data import, export, application of age models and palaeodose model.","0.3.1","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=BayLum",TRUE,"https://github.com/crp2a/BayLum","","Philippe, A., Guérin, G., Kreutzer, S., 2019. BayLum - An R package for Bayesian analysis of OSL ages: An introduction. Quaternary Geochronology 49, 16–24. doi: https://doi.org/10.1016/j.quageo.2018.05.009"
"7","LumReader","31.12.18","28.01.19","Teaching","A series of functions to estimate the detection windows of a luminescence reader based on the filters and the photomultiplier (PMT) selected. These functions also allow to simulate a luminescence experiment based on the thermoluminesce (TL) or the optically stimulated luminescence (OSL) properties of a material","0.1.0","27.01.17","ancient",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=LumReader",TRUE,"https://github.com/dstreble/LumReader","",""
"8","TLdating","31.12.18","05.07.20","Luminescence data analysis","","0.1.3","31.08.16","ancient",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=TLdating",TRUE,"https://github.com/dstreble/Tldating","","Strebler, D., Burow, C., Brill, D., Brückner, H., 2017. Using R for TL dating. Quaternary Geochronology 37, 97–107. doi: https://doi.org/10.1016/j.quageo.2016.09.001"
"9","tgcd","31.12.18","","Luminescence data analysis","Deconvolving thermoluminescence glow curves according to various 
        kinetic models (first-order, second-order, general-order, and mixed-order) using 
        a modified Levenberg-Marquardt algorithm (More, 1978) <doi:10.1007/BFb0067700>. 
        It provides the possibility of setting constraints or fixing any of parameters. 
        It offers an interactive way to initialize parameters by clicking with a mouse on 
        a plot at positions where peak maxima should be located. The optimal estimate is 
        obtained by \"trial-and-error\". It also provides routines for simulating first-order, 
        second-order, and general-order glow peaks.","2.7","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=tgcd",TRUE,"","","Peng, J., Dong, Z., Han, F., 2016. tgcd: An R package for analyzing thermoluminescence glow curves. SoftwareX 1–9. doi: https://doi.org/10.1016/j.softx.2016.06.001"
"10","KMS","31.12.18","","Modelling","Collection of functions to simulate kinetic models for quartz luminescence production","","Wed, 11 Jul 2018 01:41:12 GMT","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://github.com/pengjunUCAS/KMS",TRUE,"https://github.com/pengjunUCAS/KMS","","Peng, J., Pagonis, V., 2016. Simulating comprehensive kinetic models for quartz luminescence using the R program KMS. Radiation Measurements 86, 63–70. doi: https://doi.org/10.1016/j.radmeas.2016.01.022"
"11","DRAC","31.12.18","","Age calculation","Online dose rate and luminescence age calculator","1.2","","stable",TRUE,TRUE,TRUE,"web_service",TRUE,"http://www.aber.ac.uk/en/dges/research/quaternary/luminescence-research-laboratory/dose-rate-calculator/",TRUE,"","","Durcan, J.A., King, G.E., Duller, G.A.T., 2015. DRAC: Dose Rate and Age Calculator for trapped charge dating. Quaternary Geochronology 28, 54–61. doi: https://doi.org/10.1016/j.quageo.2015.03.012"
"12","Analyst","31.12.18","","Luminescence data analysis","The standard programme to analyse luminescence data","4.57","","stable",TRUE,FALSE,FALSE,"application",FALSE,"http://users.aber.ac.uk/ggd/",TRUE,"","","Duller, G.A.T., 2015. The Analyst software package for luminescence data: overview and recent improvements. Ancient TL 33, 35–42. http://ancienttl.org/ATL_33-1_2015/ATL_33-1_Duller_p35-42.pdf"
"13","ArchaeoPhases","31.12.18","","Chronological modelling","Provides a list of functions for the statistical analysis of archaeological dates and groups of dates. It is based on the post-processing of the Markov Chains whose stationary distribution is the posterior distribution of a series of dates. Such output can be simulated by different applications as for instance 'ChronoModel' (see <https://chronomodel.com/>), 'Oxcal' (see <https://c14.arch.ox.ac.uk/oxcal.html>) or 'BCal' (see <https://bcal.shef.ac.uk/>). The only requirement is to have a csv file containing a sample from the posterior distribution.  Note that this package interacts with data available through the 'ArchaeoPhases.dataset' package which is available in a separate repository.  The size of the 'ArchaeoPhases.dataset' package is approximately 4 MB.","1.8","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=ArchaeoPhases",TRUE,"","","Philippe, A., Vibet, M.-A., 2018. Analysis of Archaeological Phases using the CRAN Package ArchaeoPhases. Journal of Statistical Software 1–26. doi: https://doi.org/10.18637/jss.v000.i00"
